Area,Age,Year at 30 June,Sex,Value,Flags
"Northland region","0-4 Years","2006","Male",5350,
"Northland region","0-4 Years","2007","Male",5500,
"Northland region","0-4 Years","2008","Male",5690,
"Northland region","0-4 Years","2009","Male",5900,
"Northland region","0-4 Years","2010","Male",6130,
"Northland region","0-4 Years","2011","Male",6280,
"Northland region","0-4 Years","2012","Male",6260,
"Northland region","0-4 Years","2013","Male",6280,
"Northland region","0-4 Years","2014","Male",6080,
"Northland region","0-4 Years","2015","Male",5950,
"Northland region","0-4 Years","2006","Female",5270,
"Northland region","0-4 Years","2007","Female",5450,
"Northland region","0-4 Years","2008","Female",5590,
"Northland region","0-4 Years","2009","Female",5650,
"Northland region","0-4 Years","2010","Female",5750,
"Northland region","0-4 Years","2011","Female",5830,
"Northland region","0-4 Years","2012","Female",5790,
"Northland region","0-4 Years","2013","Female",5900,
"Northland region","0-4 Years","2014","Female",5830,
"Northland region","0-4 Years","2015","Female",5730,
"Auckland region","0-4 Years","2006","Male",50910,
"Auckland region","0-4 Years","2007","Male",52820,
"Auckland region","0-4 Years","2008","Male",54530,
"Auckland region","0-4 Years","2009","Male",55500,
"Auckland region","0-4 Years","2010","Male",56850,
"Auckland region","0-4 Years","2011","Male",57550,
"Auckland region","0-4 Years","2012","Male",57680,
"Auckland region","0-4 Years","2013","Male",56590,
"Auckland region","0-4 Years","2014","Male",56720,
"Auckland region","0-4 Years","2015","Male",56870,
"Auckland region","0-4 Years","2006","Female",48040,
"Auckland region","0-4 Years","2007","Female",49580,
"Auckland region","0-4 Years","2008","Female",51270,
"Auckland region","0-4 Years","2009","Female",52320,
"Auckland region","0-4 Years","2010","Female",53660,
"Auckland region","0-4 Years","2011","Female",54310,
"Auckland region","0-4 Years","2012","Female",54330,
"Auckland region","0-4 Years","2013","Female",53270,
"Auckland region","0-4 Years","2014","Female",53300,
"Auckland region","0-4 Years","2015","Female",53310,
"Waikato region","0-4 Years","2006","Male",14320,
"Waikato region","0-4 Years","2007","Male",14500,
"Waikato region","0-4 Years","2008","Male",15000,
"Waikato region","0-4 Years","2009","Male",15600,
"Waikato region","0-4 Years","2010","Male",15960,
"Waikato region","0-4 Years","2011","Male",16310,
"Waikato region","0-4 Years","2012","Male",16400,
"Waikato region","0-4 Years","2013","Male",16360,
"Waikato region","0-4 Years","2014","Male",16120,
"Waikato region","0-4 Years","2015","Male",16050,
"Waikato region","0-4 Years","2006","Female",14030,
"Waikato region","0-4 Years","2007","Female",14320,
"Waikato region","0-4 Years","2008","Female",14610,
"Waikato region","0-4 Years","2009","Female",14940,
"Waikato region","0-4 Years","2010","Female",15260,
"Waikato region","0-4 Years","2011","Female",15380,
"Waikato region","0-4 Years","2012","Female",15420,
"Waikato region","0-4 Years","2013","Female",15380,
"Waikato region","0-4 Years","2014","Female",15220,
"Waikato region","0-4 Years","2015","Female",15120,
"Bay of Plenty region","0-4 Years","2006","Male",9660,
"Bay of Plenty region","0-4 Years","2007","Male",9900,
"Bay of Plenty region","0-4 Years","2008","Male",10170,
"Bay of Plenty region","0-4 Years","2009","Male",10410,
"Bay of Plenty region","0-4 Years","2010","Male",10520,
"Bay of Plenty region","0-4 Years","2011","Male",10650,
"Bay of Plenty region","0-4 Years","2012","Male",10490,
"Bay of Plenty region","0-4 Years","2013","Male",10230,
"Bay of Plenty region","0-4 Years","2014","Male",9940,
"Bay of Plenty region","0-4 Years","2015","Male",9960,
"Bay of Plenty region","0-4 Years","2006","Female",9090,
"Bay of Plenty region","0-4 Years","2007","Female",9250,
"Bay of Plenty region","0-4 Years","2008","Female",9530,
"Bay of Plenty region","0-4 Years","2009","Female",9620,
"Bay of Plenty region","0-4 Years","2010","Female",9770,
"Bay of Plenty region","0-4 Years","2011","Female",9940,
"Bay of Plenty region","0-4 Years","2012","Female",9790,
"Bay of Plenty region","0-4 Years","2013","Female",9640,
"Bay of Plenty region","0-4 Years","2014","Female",9550,
"Bay of Plenty region","0-4 Years","2015","Female",9590,
"Gisborne region","0-4 Years","2006","Male",1920,
"Gisborne region","0-4 Years","2007","Male",1950,
"Gisborne region","0-4 Years","2008","Male",1960,
"Gisborne region","0-4 Years","2009","Male",2000,
"Gisborne region","0-4 Years","2010","Male",2000,
"Gisborne region","0-4 Years","2011","Male",1990,
"Gisborne region","0-4 Years","2012","Male",1990,
"Gisborne region","0-4 Years","2013","Male",1960,
"Gisborne region","0-4 Years","2014","Male",1910,
"Gisborne region","0-4 Years","2015","Male",1880,
"Gisborne region","0-4 Years","2006","Female",1830,
"Gisborne region","0-4 Years","2007","Female",1850,
"Gisborne region","0-4 Years","2008","Female",1870,
"Gisborne region","0-4 Years","2009","Female",1900,
"Gisborne region","0-4 Years","2010","Female",1940,
"Gisborne region","0-4 Years","2011","Female",1950,
"Gisborne region","0-4 Years","2012","Female",1960,
"Gisborne region","0-4 Years","2013","Female",1920,
"Gisborne region","0-4 Years","2014","Female",1840,
"Gisborne region","0-4 Years","2015","Female",1790,
"Hawke's Bay region","0-4 Years","2006","Male",5480,
"Hawke's Bay region","0-4 Years","2007","Male",5590,
"Hawke's Bay region","0-4 Years","2008","Male",5690,
"Hawke's Bay region","0-4 Years","2009","Male",5710,
"Hawke's Bay region","0-4 Years","2010","Male",5900,
"Hawke's Bay region","0-4 Years","2011","Male",5930,
"Hawke's Bay region","0-4 Years","2012","Male",5860,
"Hawke's Bay region","0-4 Years","2013","Male",5850,
"Hawke's Bay region","0-4 Years","2014","Male",5780,
"Hawke's Bay region","0-4 Years","2015","Male",5630,
"Hawke's Bay region","0-4 Years","2006","Female",5310,
"Hawke's Bay region","0-4 Years","2007","Female",5350,
"Hawke's Bay region","0-4 Years","2008","Female",5460,
"Hawke's Bay region","0-4 Years","2009","Female",5560,
"Hawke's Bay region","0-4 Years","2010","Female",5790,
"Hawke's Bay region","0-4 Years","2011","Female",5840,
"Hawke's Bay region","0-4 Years","2012","Female",5820,
"Hawke's Bay region","0-4 Years","2013","Female",5750,
"Hawke's Bay region","0-4 Years","2014","Female",5700,
"Hawke's Bay region","0-4 Years","2015","Female",5520,
"Taranaki region","0-4 Years","2006","Male",3670,
"Taranaki region","0-4 Years","2007","Male",3750,
"Taranaki region","0-4 Years","2008","Male",3840,
"Taranaki region","0-4 Years","2009","Male",3990,
"Taranaki region","0-4 Years","2010","Male",4130,
"Taranaki region","0-4 Years","2011","Male",4270,
"Taranaki region","0-4 Years","2012","Male",4260,
"Taranaki region","0-4 Years","2013","Male",4270,
"Taranaki region","0-4 Years","2014","Male",4210,
"Taranaki region","0-4 Years","2015","Male",4120,
"Taranaki region","0-4 Years","2006","Female",3390,
"Taranaki region","0-4 Years","2007","Female",3470,
"Taranaki region","0-4 Years","2008","Female",3610,
"Taranaki region","0-4 Years","2009","Female",3740,
"Taranaki region","0-4 Years","2010","Female",3890,
"Taranaki region","0-4 Years","2011","Female",3990,
"Taranaki region","0-4 Years","2012","Female",4050,
"Taranaki region","0-4 Years","2013","Female",4020,
"Taranaki region","0-4 Years","2014","Female",3980,
"Taranaki region","0-4 Years","2015","Female",3910,
"Manawatu-Wanganui region","0-4 Years","2006","Male",7800,
"Manawatu-Wanganui region","0-4 Years","2007","Male",7880,
"Manawatu-Wanganui region","0-4 Years","2008","Male",8010,
"Manawatu-Wanganui region","0-4 Years","2009","Male",8190,
"Manawatu-Wanganui region","0-4 Years","2010","Male",8380,
"Manawatu-Wanganui region","0-4 Years","2011","Male",8410,
"Manawatu-Wanganui region","0-4 Years","2012","Male",8340,
"Manawatu-Wanganui region","0-4 Years","2013","Male",8170,
"Manawatu-Wanganui region","0-4 Years","2014","Male",8040,
"Manawatu-Wanganui region","0-4 Years","2015","Male",7910,
"Manawatu-Wanganui region","0-4 Years","2006","Female",7500,
"Manawatu-Wanganui region","0-4 Years","2007","Female",7540,
"Manawatu-Wanganui region","0-4 Years","2008","Female",7710,
"Manawatu-Wanganui region","0-4 Years","2009","Female",7830,
"Manawatu-Wanganui region","0-4 Years","2010","Female",7970,
"Manawatu-Wanganui region","0-4 Years","2011","Female",8120,
"Manawatu-Wanganui region","0-4 Years","2012","Female",8080,
"Manawatu-Wanganui region","0-4 Years","2013","Female",7960,
"Manawatu-Wanganui region","0-4 Years","2014","Female",7840,
"Manawatu-Wanganui region","0-4 Years","2015","Female",7620,
"Otago region","0-4 Years","2006","Male",5580,
"Otago region","0-4 Years","2007","Male",5670,
"Otago region","0-4 Years","2008","Male",5810,
"Otago region","0-4 Years","2009","Male",6020,
"Otago region","0-4 Years","2010","Male",6080,
"Otago region","0-4 Years","2011","Male",6280,
"Otago region","0-4 Years","2012","Male",6320,
"Otago region","0-4 Years","2013","Male",6380,
"Otago region","0-4 Years","2014","Male",6220,
"Otago region","0-4 Years","2015","Male",6020,
"Otago region","0-4 Years","2006","Female",5410,
"Otago region","0-4 Years","2007","Female",5560,
"Otago region","0-4 Years","2008","Female",5620,
"Otago region","0-4 Years","2009","Female",5660,
"Otago region","0-4 Years","2010","Female",5690,
"Otago region","0-4 Years","2011","Female",5790,
"Otago region","0-4 Years","2012","Female",5780,
"Otago region","0-4 Years","2013","Female",5920,
"Otago region","0-4 Years","2014","Female",5870,
"Otago region","0-4 Years","2015","Female",5810,
"Southland region","0-4 Years","2006","Male",3210,
"Southland region","0-4 Years","2007","Male",3280,
"Southland region","0-4 Years","2008","Male",3340,
"Southland region","0-4 Years","2009","Male",3430,
"Southland region","0-4 Years","2010","Male",3500,
"Southland region","0-4 Years","2011","Male",3570,
"Southland region","0-4 Years","2012","Male",3560,
"Southland region","0-4 Years","2013","Male",3490,
"Southland region","0-4 Years","2014","Male",3450,
"Southland region","0-4 Years","2015","Male",3330,
"Southland region","0-4 Years","2006","Female",2990,
"Southland region","0-4 Years","2007","Female",3010,
"Southland region","0-4 Years","2008","Female",3080,
"Southland region","0-4 Years","2009","Female",3160,
"Southland region","0-4 Years","2010","Female",3250,
"Southland region","0-4 Years","2011","Female",3340,
"Southland region","0-4 Years","2012","Female",3310,
"Southland region","0-4 Years","2013","Female",3210,
"Southland region","0-4 Years","2014","Female",3200,
"Southland region","0-4 Years","2015","Female",3060,
"Northland region","5-9 Years","2006","Male",5940,
"Northland region","5-9 Years","2007","Male",5940,
"Northland region","5-9 Years","2008","Male",5930,
"Northland region","5-9 Years","2009","Male",5900,
"Northland region","5-9 Years","2010","Male",5860,
"Northland region","5-9 Years","2011","Male",5900,
"Northland region","5-9 Years","2012","Male",6050,
"Northland region","5-9 Years","2013","Male",6190,
"Northland region","5-9 Years","2014","Male",6350,
"Northland region","5-9 Years","2015","Male",6580,
"Northland region","5-9 Years","2006","Female",5760,
"Northland region","5-9 Years","2007","Female",5730,
"Northland region","5-9 Years","2008","Female",5640,
"Northland region","5-9 Years","2009","Female",5660,
"Northland region","5-9 Years","2010","Female",5660,
"Northland region","5-9 Years","2011","Female",5680,
"Northland region","5-9 Years","2012","Female",5850,
"Northland region","5-9 Years","2013","Female",5960,
"Northland region","5-9 Years","2014","Female",5960,
"Northland region","5-9 Years","2015","Female",6110,
"Auckland region","5-9 Years","2006","Male",49760,
"Auckland region","5-9 Years","2007","Male",49870,
"Auckland region","5-9 Years","2008","Male",50120,
"Auckland region","5-9 Years","2009","Male",50490,
"Auckland region","5-9 Years","2010","Male",50270,
"Auckland region","5-9 Years","2011","Male",50450,
"Auckland region","5-9 Years","2012","Male",51350,
"Auckland region","5-9 Years","2013","Male",52420,
"Auckland region","5-9 Years","2014","Male",53510,
"Auckland region","5-9 Years","2015","Male",55070,
"Auckland region","5-9 Years","2006","Female",47810,
"Auckland region","5-9 Years","2007","Female",47790,
"Auckland region","5-9 Years","2008","Female",47670,
"Auckland region","5-9 Years","2009","Female",47800,
"Auckland region","5-9 Years","2010","Female",47480,
"Auckland region","5-9 Years","2011","Female",47920,
"Auckland region","5-9 Years","2012","Female",48720,
"Auckland region","5-9 Years","2013","Female",49660,
"Auckland region","5-9 Years","2014","Female",50700,
"Auckland region","5-9 Years","2015","Female",52190,
"Waikato region","5-9 Years","2006","Male",14990,
"Waikato region","5-9 Years","2007","Male",14990,
"Waikato region","5-9 Years","2008","Male",14860,
"Waikato region","5-9 Years","2009","Male",14830,
"Waikato region","5-9 Years","2010","Male",14890,
"Waikato region","5-9 Years","2011","Male",14900,
"Waikato region","5-9 Years","2012","Male",15120,
"Waikato region","5-9 Years","2013","Male",15480,
"Waikato region","5-9 Years","2014","Male",16090,
"Waikato region","5-9 Years","2015","Male",16650,
"Waikato region","5-9 Years","2006","Female",14320,
"Waikato region","5-9 Years","2007","Female",14350,
"Waikato region","5-9 Years","2008","Female",14350,
"Waikato region","5-9 Years","2009","Female",14460,
"Waikato region","5-9 Years","2010","Female",14470,
"Waikato region","5-9 Years","2011","Female",14570,
"Waikato region","5-9 Years","2012","Female",14780,
"Waikato region","5-9 Years","2013","Female",15150,
"Waikato region","5-9 Years","2014","Female",15440,
"Waikato region","5-9 Years","2015","Female",15840,
"Bay of Plenty region","5-9 Years","2006","Male",10400,
"Bay of Plenty region","5-9 Years","2007","Male",10420,
"Bay of Plenty region","5-9 Years","2008","Male",10330,
"Bay of Plenty region","5-9 Years","2009","Male",10240,
"Bay of Plenty region","5-9 Years","2010","Male",10150,
"Bay of Plenty region","5-9 Years","2011","Male",10090,
"Bay of Plenty region","5-9 Years","2012","Male",10200,
"Bay of Plenty region","5-9 Years","2013","Male",10390,
"Bay of Plenty region","5-9 Years","2014","Male",10610,
"Bay of Plenty region","5-9 Years","2015","Male",10790,
"Bay of Plenty region","5-9 Years","2006","Female",9720,
"Bay of Plenty region","5-9 Years","2007","Female",9660,
"Bay of Plenty region","5-9 Years","2008","Female",9530,
"Bay of Plenty region","5-9 Years","2009","Female",9620,
"Bay of Plenty region","5-9 Years","2010","Female",9580,
"Bay of Plenty region","5-9 Years","2011","Female",9560,
"Bay of Plenty region","5-9 Years","2012","Female",9630,
"Bay of Plenty region","5-9 Years","2013","Female",9760,
"Bay of Plenty region","5-9 Years","2014","Female",9900,
"Bay of Plenty region","5-9 Years","2015","Female",10140,
"Gisborne region","5-9 Years","2006","Male",1990,
"Gisborne region","5-9 Years","2007","Male",2000,
"Gisborne region","5-9 Years","2008","Male",1990,
"Gisborne region","5-9 Years","2009","Male",2020,
"Gisborne region","5-9 Years","2010","Male",2050,
"Gisborne region","5-9 Years","2011","Male",2020,
"Gisborne region","5-9 Years","2012","Male",2050,
"Gisborne region","5-9 Years","2013","Male",2050,
"Gisborne region","5-9 Years","2014","Male",2060,
"Gisborne region","5-9 Years","2015","Male",2060,
"Gisborne region","5-9 Years","2006","Female",1930,
"Gisborne region","5-9 Years","2007","Female",1850,
"Gisborne region","5-9 Years","2008","Female",1850,
"Gisborne region","5-9 Years","2009","Female",1840,
"Gisborne region","5-9 Years","2010","Female",1840,
"Gisborne region","5-9 Years","2011","Female",1840,
"Gisborne region","5-9 Years","2012","Female",1890,
"Gisborne region","5-9 Years","2013","Female",1890,
"Gisborne region","5-9 Years","2014","Female",1940,
"Gisborne region","5-9 Years","2015","Female",2000,
"Hawke's Bay region","5-9 Years","2006","Male",5860,
"Hawke's Bay region","5-9 Years","2007","Male",5830,
"Hawke's Bay region","5-9 Years","2008","Male",5700,
"Hawke's Bay region","5-9 Years","2009","Male",5740,
"Hawke's Bay region","5-9 Years","2010","Male",5690,
"Hawke's Bay region","5-9 Years","2011","Male",5670,
"Hawke's Bay region","5-9 Years","2012","Male",5710,
"Hawke's Bay region","5-9 Years","2013","Male",5750,
"Hawke's Bay region","5-9 Years","2014","Male",5800,
"Hawke's Bay region","5-9 Years","2015","Male",5980,
"Hawke's Bay region","5-9 Years","2006","Female",5620,
"Hawke's Bay region","5-9 Years","2007","Female",5650,
"Hawke's Bay region","5-9 Years","2008","Female",5580,
"Hawke's Bay region","5-9 Years","2009","Female",5580,
"Hawke's Bay region","5-9 Years","2010","Female",5480,
"Hawke's Bay region","5-9 Years","2011","Female",5490,
"Hawke's Bay region","5-9 Years","2012","Female",5470,
"Hawke's Bay region","5-9 Years","2013","Female",5610,
"Hawke's Bay region","5-9 Years","2014","Female",5720,
"Hawke's Bay region","5-9 Years","2015","Female",5960,
"Taranaki region","5-9 Years","2006","Male",3940,
"Taranaki region","5-9 Years","2007","Male",3920,
"Taranaki region","5-9 Years","2008","Male",3900,
"Taranaki region","5-9 Years","2009","Male",3860,
"Taranaki region","5-9 Years","2010","Male",3870,
"Taranaki region","5-9 Years","2011","Male",3860,
"Taranaki region","5-9 Years","2012","Male",3960,
"Taranaki region","5-9 Years","2013","Male",4040,
"Taranaki region","5-9 Years","2014","Male",4240,
"Taranaki region","5-9 Years","2015","Male",4350,
"Taranaki region","5-9 Years","2006","Female",3690,
"Taranaki region","5-9 Years","2007","Female",3700,
"Taranaki region","5-9 Years","2008","Female",3640,
"Taranaki region","5-9 Years","2009","Female",3600,
"Taranaki region","5-9 Years","2010","Female",3580,
"Taranaki region","5-9 Years","2011","Female",3600,
"Taranaki region","5-9 Years","2012","Female",3700,
"Taranaki region","5-9 Years","2013","Female",3880,
"Taranaki region","5-9 Years","2014","Female",4010,
"Taranaki region","5-9 Years","2015","Female",4170,
"Manawatu-Wanganui region","5-9 Years","2006","Male",8310,
"Manawatu-Wanganui region","5-9 Years","2007","Male",8140,
"Manawatu-Wanganui region","5-9 Years","2008","Male",8020,
"Manawatu-Wanganui region","5-9 Years","2009","Male",7930,
"Manawatu-Wanganui region","5-9 Years","2010","Male",7800,
"Manawatu-Wanganui region","5-9 Years","2011","Male",7800,
"Manawatu-Wanganui region","5-9 Years","2012","Male",7840,
"Manawatu-Wanganui region","5-9 Years","2013","Male",8030,
"Manawatu-Wanganui region","5-9 Years","2014","Male",8170,
"Manawatu-Wanganui region","5-9 Years","2015","Male",8470,
"Manawatu-Wanganui region","5-9 Years","2006","Female",7960,
"Manawatu-Wanganui region","5-9 Years","2007","Female",7800,
"Manawatu-Wanganui region","5-9 Years","2008","Female",7680,
"Manawatu-Wanganui region","5-9 Years","2009","Female",7670,
"Manawatu-Wanganui region","5-9 Years","2010","Female",7600,
"Manawatu-Wanganui region","5-9 Years","2011","Female",7520,
"Manawatu-Wanganui region","5-9 Years","2012","Female",7520,
"Manawatu-Wanganui region","5-9 Years","2013","Female",7640,
"Manawatu-Wanganui region","5-9 Years","2014","Female",7830,
"Manawatu-Wanganui region","5-9 Years","2015","Female",8010,
"Otago region","5-9 Years","2006","Male",5900,
"Otago region","5-9 Years","2007","Male",5920,
"Otago region","5-9 Years","2008","Male",5900,
"Otago region","5-9 Years","2009","Male",5920,
"Otago region","5-9 Years","2010","Male",5960,
"Otago region","5-9 Years","2011","Male",5890,
"Otago region","5-9 Years","2012","Male",5930,
"Otago region","5-9 Years","2013","Male",6050,
"Otago region","5-9 Years","2014","Male",6330,
"Otago region","5-9 Years","2015","Male",6480,
"Otago region","5-9 Years","2006","Female",5540,
"Otago region","5-9 Years","2007","Female",5550,
"Otago region","5-9 Years","2008","Female",5560,
"Otago region","5-9 Years","2009","Female",5600,
"Otago region","5-9 Years","2010","Female",5630,
"Otago region","5-9 Years","2011","Female",5640,
"Otago region","5-9 Years","2012","Female",5670,
"Otago region","5-9 Years","2013","Female",5740,
"Otago region","5-9 Years","2014","Female",5840,
"Otago region","5-9 Years","2015","Female",5980,
"Southland region","5-9 Years","2006","Male",3240,
"Southland region","5-9 Years","2007","Male",3270,
"Southland region","5-9 Years","2008","Male",3250,
"Southland region","5-9 Years","2009","Male",3240,
"Southland region","5-9 Years","2010","Male",3260,
"Southland region","5-9 Years","2011","Male",3270,
"Southland region","5-9 Years","2012","Male",3360,
"Southland region","5-9 Years","2013","Male",3440,
"Southland region","5-9 Years","2014","Male",3510,
"Southland region","5-9 Years","2015","Male",3560,
"Southland region","5-9 Years","2006","Female",3120,
"Southland region","5-9 Years","2007","Female",3080,
"Southland region","5-9 Years","2008","Female",3040,
"Southland region","5-9 Years","2009","Female",3060,
"Southland region","5-9 Years","2010","Female",3100,
"Southland region","5-9 Years","2011","Female",3110,
"Southland region","5-9 Years","2012","Female",3140,
"Southland region","5-9 Years","2013","Female",3200,
"Southland region","5-9 Years","2014","Female",3240,
"Southland region","5-9 Years","2015","Female",3330,
"Northland region","10-14 Years","2006","Male",6710,
"Northland region","10-14 Years","2007","Male",6470,
"Northland region","10-14 Years","2008","Male",6350,
"Northland region","10-14 Years","2009","Male",6310,
"Northland region","10-14 Years","2010","Male",6310,
"Northland region","10-14 Years","2011","Male",6300,
"Northland region","10-14 Years","2012","Male",6280,
"Northland region","10-14 Years","2013","Male",6270,
"Northland region","10-14 Years","2014","Male",6150,
"Northland region","10-14 Years","2015","Male",6070,
"Northland region","10-14 Years","2006","Female",6290,
"Northland region","10-14 Years","2007","Female",6150,
"Northland region","10-14 Years","2008","Female",6030,
"Northland region","10-14 Years","2009","Female",5970,
"Northland region","10-14 Years","2010","Female",6020,
"Northland region","10-14 Years","2011","Female",6020,
"Northland region","10-14 Years","2012","Female",5950,
"Northland region","10-14 Years","2013","Female",5840,
"Northland region","10-14 Years","2014","Female",5850,
"Northland region","10-14 Years","2015","Female",5790,
"Auckland region","10-14 Years","2006","Male",52240,
"Auckland region","10-14 Years","2007","Male",52210,
"Auckland region","10-14 Years","2008","Male",51960,
"Auckland region","10-14 Years","2009","Male",51770,
"Auckland region","10-14 Years","2010","Male",51890,
"Auckland region","10-14 Years","2011","Male",51940,
"Auckland region","10-14 Years","2012","Male",51510,
"Auckland region","10-14 Years","2013","Male",51160,
"Auckland region","10-14 Years","2014","Male",51140,
"Auckland region","10-14 Years","2015","Male",50540,
"Auckland region","10-14 Years","2006","Female",49460,
"Auckland region","10-14 Years","2007","Female",49870,
"Auckland region","10-14 Years","2008","Female",49780,
"Auckland region","10-14 Years","2009","Female",49410,
"Auckland region","10-14 Years","2010","Female",49230,
"Auckland region","10-14 Years","2011","Female",49350,
"Auckland region","10-14 Years","2012","Female",48820,
"Auckland region","10-14 Years","2013","Female",48410,
"Auckland region","10-14 Years","2014","Female",48350,
"Auckland region","10-14 Years","2015","Female",48070,
"Waikato region","10-14 Years","2006","Male",16080,
"Waikato region","10-14 Years","2007","Male",15740,
"Waikato region","10-14 Years","2008","Male",15620,
"Waikato region","10-14 Years","2009","Male",15540,
"Waikato region","10-14 Years","2010","Male",15630,
"Waikato region","10-14 Years","2011","Male",15690,
"Waikato region","10-14 Years","2012","Male",15660,
"Waikato region","10-14 Years","2013","Male",15350,
"Waikato region","10-14 Years","2014","Male",15230,
"Waikato region","10-14 Years","2015","Male",15180,
"Waikato region","10-14 Years","2006","Female",15000,
"Waikato region","10-14 Years","2007","Female",14650,
"Waikato region","10-14 Years","2008","Female",14530,
"Waikato region","10-14 Years","2009","Female",14650,
"Waikato region","10-14 Years","2010","Female",14860,
"Waikato region","10-14 Years","2011","Female",14980,
"Waikato region","10-14 Years","2012","Female",14980,
"Waikato region","10-14 Years","2013","Female",14800,
"Waikato region","10-14 Years","2014","Female",14690,
"Waikato region","10-14 Years","2015","Female",14730,
"Bay of Plenty region","10-14 Years","2006","Male",10950,
"Bay of Plenty region","10-14 Years","2007","Male",10670,
"Bay of Plenty region","10-14 Years","2008","Male",10510,
"Bay of Plenty region","10-14 Years","2009","Male",10540,
"Bay of Plenty region","10-14 Years","2010","Male",10760,
"Bay of Plenty region","10-14 Years","2011","Male",10820,
"Bay of Plenty region","10-14 Years","2012","Male",10770,
"Bay of Plenty region","10-14 Years","2013","Male",10540,
"Bay of Plenty region","10-14 Years","2014","Male",10390,
"Bay of Plenty region","10-14 Years","2015","Male",10360,
"Bay of Plenty region","10-14 Years","2006","Female",10500,
"Bay of Plenty region","10-14 Years","2007","Female",10300,
"Bay of Plenty region","10-14 Years","2008","Female",10130,
"Bay of Plenty region","10-14 Years","2009","Female",9990,
"Bay of Plenty region","10-14 Years","2010","Female",10040,
"Bay of Plenty region","10-14 Years","2011","Female",10120,
"Bay of Plenty region","10-14 Years","2012","Female",10030,
"Bay of Plenty region","10-14 Years","2013","Female",9870,
"Bay of Plenty region","10-14 Years","2014","Female",9820,
"Bay of Plenty region","10-14 Years","2015","Female",9780,
"Gisborne region","10-14 Years","2006","Male",2140,
"Gisborne region","10-14 Years","2007","Male",2010,
"Gisborne region","10-14 Years","2008","Male",1980,
"Gisborne region","10-14 Years","2009","Male",1980,
"Gisborne region","10-14 Years","2010","Male",1980,
"Gisborne region","10-14 Years","2011","Male",2000,
"Gisborne region","10-14 Years","2012","Male",2030,
"Gisborne region","10-14 Years","2013","Male",2040,
"Gisborne region","10-14 Years","2014","Male",2060,
"Gisborne region","10-14 Years","2015","Male",2070,
"Gisborne region","10-14 Years","2006","Female",2050,
"Gisborne region","10-14 Years","2007","Female",2020,
"Gisborne region","10-14 Years","2008","Female",1940,
"Gisborne region","10-14 Years","2009","Female",1930,
"Gisborne region","10-14 Years","2010","Female",1910,
"Gisborne region","10-14 Years","2011","Female",1910,
"Gisborne region","10-14 Years","2012","Female",1850,
"Gisborne region","10-14 Years","2013","Female",1820,
"Gisborne region","10-14 Years","2014","Female",1820,
"Gisborne region","10-14 Years","2015","Female",1810,
"Hawke's Bay region","10-14 Years","2006","Male",6380,
"Hawke's Bay region","10-14 Years","2007","Male",6210,
"Hawke's Bay region","10-14 Years","2008","Male",6160,
"Hawke's Bay region","10-14 Years","2009","Male",6140,
"Hawke's Bay region","10-14 Years","2010","Male",6160,
"Hawke's Bay region","10-14 Years","2011","Male",6100,
"Hawke's Bay region","10-14 Years","2012","Male",6030,
"Hawke's Bay region","10-14 Years","2013","Male",5850,
"Hawke's Bay region","10-14 Years","2014","Male",5840,
"Hawke's Bay region","10-14 Years","2015","Male",5760,
"Hawke's Bay region","10-14 Years","2006","Female",5990,
"Hawke's Bay region","10-14 Years","2007","Female",5830,
"Hawke's Bay region","10-14 Years","2008","Female",5790,
"Hawke's Bay region","10-14 Years","2009","Female",5750,
"Hawke's Bay region","10-14 Years","2010","Female",5880,
"Hawke's Bay region","10-14 Years","2011","Female",5830,
"Hawke's Bay region","10-14 Years","2012","Female",5820,
"Hawke's Bay region","10-14 Years","2013","Female",5740,
"Hawke's Bay region","10-14 Years","2014","Female",5720,
"Hawke's Bay region","10-14 Years","2015","Female",5590,
"Taranaki region","10-14 Years","2006","Male",4270,
"Taranaki region","10-14 Years","2007","Male",4060,
"Taranaki region","10-14 Years","2008","Male",3990,
"Taranaki region","10-14 Years","2009","Male",3950,
"Taranaki region","10-14 Years","2010","Male",4000,
"Taranaki region","10-14 Years","2011","Male",4050,
"Taranaki region","10-14 Years","2012","Male",4040,
"Taranaki region","10-14 Years","2013","Male",4020,
"Taranaki region","10-14 Years","2014","Male",3950,
"Taranaki region","10-14 Years","2015","Male",3950,
"Taranaki region","10-14 Years","2006","Female",4110,
"Taranaki region","10-14 Years","2007","Female",3910,
"Taranaki region","10-14 Years","2008","Female",3840,
"Taranaki region","10-14 Years","2009","Female",3850,
"Taranaki region","10-14 Years","2010","Female",3890,
"Taranaki region","10-14 Years","2011","Female",3910,
"Taranaki region","10-14 Years","2012","Female",3910,
"Taranaki region","10-14 Years","2013","Female",3830,
"Taranaki region","10-14 Years","2014","Female",3760,
"Taranaki region","10-14 Years","2015","Female",3710,
"Manawatu-Wanganui region","10-14 Years","2006","Male",9100,
"Manawatu-Wanganui region","10-14 Years","2007","Male",8820,
"Manawatu-Wanganui region","10-14 Years","2008","Male",8620,
"Manawatu-Wanganui region","10-14 Years","2009","Male",8560,
"Manawatu-Wanganui region","10-14 Years","2010","Male",8540,
"Manawatu-Wanganui region","10-14 Years","2011","Male",8400,
"Manawatu-Wanganui region","10-14 Years","2012","Male",8220,
"Manawatu-Wanganui region","10-14 Years","2013","Male",8060,
