Area,Age,Sex,Year at 30 June,Value,Flags
"Northland region","0-4 Years","Male","2006",5350,
"Northland region","0-4 Years","Male","2007",5500,
"Northland region","0-4 Years","Male","2008",5690,
"Northland region","0-4 Years","Male","2009",5900,
"Northland region","0-4 Years","Male","2010",6130,
"Northland region","0-4 Years","Male","2011",6280,
"Northland region","0-4 Years","Male","2012",6260,
"Northland region","0-4 Years","Male","2013",6280,
"Northland region","0-4 Years","Male","2014",6080,
"Northland region","0-4 Years","Female","2006",5270,
"Northland region","0-4 Years","Female","2007",5450,
"Northland region","0-4 Years","Female","2008",5590,
"Northland region","0-4 Years","Female","2009",5650,
"Northland region","0-4 Years","Female","2010",5750,
"Northland region","0-4 Years","Female","2011",5830,
"Northland region","0-4 Years","Female","2012",5790,
"Northland region","0-4 Years","Female","2013",5900,
"Northland region","0-4 Years","Female","2014",5830,
"Auckland region","0-4 Years","Male","2006",50910,
"Auckland region","0-4 Years","Male","2007",52820,
"Auckland region","0-4 Years","Male","2008",54530,
"Auckland region","0-4 Years","Male","2009",55500,
"Auckland region","0-4 Years","Male","2010",56850,
"Auckland region","0-4 Years","Male","2011",57550,
"Auckland region","0-4 Years","Male","2012",57680,
"Auckland region","0-4 Years","Male","2013",56590,
"Auckland region","0-4 Years","Male","2014",56720,
"Auckland region","0-4 Years","Female","2006",48040,
"Auckland region","0-4 Years","Female","2007",49580,
"Auckland region","0-4 Years","Female","2008",51270,
"Auckland region","0-4 Years","Female","2009",52320,
"Auckland region","0-4 Years","Female","2010",53660,
"Auckland region","0-4 Years","Female","2011",54310,
"Auckland region","0-4 Years","Female","2012",54330,
"Auckland region","0-4 Years","Female","2013",53270,
"Auckland region","0-4 Years","Female","2014",53300,
"Waikato region","0-4 Years","Male","2006",14320,
"Waikato region","0-4 Years","Male","2007",14500,
"Waikato region","0-4 Years","Male","2008",15000,
"Waikato region","0-4 Years","Male","2009",15600,
"Waikato region","0-4 Years","Male","2010",15960,
"Waikato region","0-4 Years","Male","2011",16310,
"Waikato region","0-4 Years","Male","2012",16400,
"Waikato region","0-4 Years","Male","2013",16360,
"Waikato region","0-4 Years","Male","2014",16120,
"Waikato region","0-4 Years","Female","2006",14030,
"Waikato region","0-4 Years","Female","2007",14320,
"Waikato region","0-4 Years","Female","2008",14610,
"Waikato region","0-4 Years","Female","2009",14940,
"Waikato region","0-4 Years","Female","2010",15260,
"Waikato region","0-4 Years","Female","2011",15380,
"Waikato region","0-4 Years","Female","2012",15420,
"Waikato region","0-4 Years","Female","2013",15380,
"Waikato region","0-4 Years","Female","2014",15220,
"Bay of Plenty region","0-4 Years","Male","2006",9660,
"Bay of Plenty region","0-4 Years","Male","2007",9900,
"Bay of Plenty region","0-4 Years","Male","2008",10170,
"Bay of Plenty region","0-4 Years","Male","2009",10410,
"Bay of Plenty region","0-4 Years","Male","2010",10520,
"Bay of Plenty region","0-4 Years","Male","2011",10650,
"Bay of Plenty region","0-4 Years","Male","2012",10490,
"Bay of Plenty region","0-4 Years","Male","2013",10230,
"Bay of Plenty region","0-4 Years","Male","2014",9940,
"Bay of Plenty region","0-4 Years","Female","2006",9090,
"Bay of Plenty region","0-4 Years","Female","2007",9250,
"Bay of Plenty region","0-4 Years","Female","2008",9530,
"Bay of Plenty region","0-4 Years","Female","2009",9620,
"Bay of Plenty region","0-4 Years","Female","2010",9770,
"Bay of Plenty region","0-4 Years","Female","2011",9940,
"Bay of Plenty region","0-4 Years","Female","2012",9790,
"Bay of Plenty region","0-4 Years","Female","2013",9640,
"Bay of Plenty region","0-4 Years","Female","2014",9550,
"Gisborne region","0-4 Years","Male","2006",1920,
"Gisborne region","0-4 Years","Male","2007",1950,
"Gisborne region","0-4 Years","Male","2008",1960,
"Gisborne region","0-4 Years","Male","2009",2000,
"Gisborne region","0-4 Years","Male","2010",2000,
"Gisborne region","0-4 Years","Male","2011",1990,
"Gisborne region","0-4 Years","Male","2012",1990,
"Gisborne region","0-4 Years","Male","2013",1960,
"Gisborne region","0-4 Years","Male","2014",1910,
"Gisborne region","0-4 Years","Female","2006",1830,
"Gisborne region","0-4 Years","Female","2007",1850,
"Gisborne region","0-4 Years","Female","2008",1870,
"Gisborne region","0-4 Years","Female","2009",1900,
"Gisborne region","0-4 Years","Female","2010",1940,
"Gisborne region","0-4 Years","Female","2011",1950,
"Gisborne region","0-4 Years","Female","2012",1960,
"Gisborne region","0-4 Years","Female","2013",1920,
"Gisborne region","0-4 Years","Female","2014",1840,
"Hawke's Bay region","0-4 Years","Male","2006",5480,
"Hawke's Bay region","0-4 Years","Male","2007",5590,
"Hawke's Bay region","0-4 Years","Male","2008",5690,
"Hawke's Bay region","0-4 Years","Male","2009",5710,
"Hawke's Bay region","0-4 Years","Male","2010",5900,
"Hawke's Bay region","0-4 Years","Male","2011",5930,
"Hawke's Bay region","0-4 Years","Male","2012",5860,
"Hawke's Bay region","0-4 Years","Male","2013",5850,
"Hawke's Bay region","0-4 Years","Male","2014",5780,
"Hawke's Bay region","0-4 Years","Female","2006",5310,
"Hawke's Bay region","0-4 Years","Female","2007",5350,
"Hawke's Bay region","0-4 Years","Female","2008",5460,
"Hawke's Bay region","0-4 Years","Female","2009",5560,
"Hawke's Bay region","0-4 Years","Female","2010",5790,
"Hawke's Bay region","0-4 Years","Female","2011",5840,
"Hawke's Bay region","0-4 Years","Female","2012",5820,
"Hawke's Bay region","0-4 Years","Female","2013",5750,
"Hawke's Bay region","0-4 Years","Female","2014",5700,
"Taranaki region","0-4 Years","Male","2006",3670,
"Taranaki region","0-4 Years","Male","2007",3750,
"Taranaki region","0-4 Years","Male","2008",3840,
"Taranaki region","0-4 Years","Male","2009",3990,
"Taranaki region","0-4 Years","Male","2010",4130,
"Taranaki region","0-4 Years","Male","2011",4270,
"Taranaki region","0-4 Years","Male","2012",4260,
"Taranaki region","0-4 Years","Male","2013",4270,
"Taranaki region","0-4 Years","Male","2014",4210,
"Taranaki region","0-4 Years","Female","2006",3390,
"Taranaki region","0-4 Years","Female","2007",3470,
"Taranaki region","0-4 Years","Female","2008",3610,
"Taranaki region","0-4 Years","Female","2009",3740,
"Taranaki region","0-4 Years","Female","2010",3890,
"Taranaki region","0-4 Years","Female","2011",3990,
"Taranaki region","0-4 Years","Female","2012",4050,
"Taranaki region","0-4 Years","Female","2013",4020,
"Taranaki region","0-4 Years","Female","2014",3980,
"Manawatu-Wanganui region","0-4 Years","Male","2006",7800,
"Manawatu-Wanganui region","0-4 Years","Male","2007",7880,
"Manawatu-Wanganui region","0-4 Years","Male","2008",8010,
"Manawatu-Wanganui region","0-4 Years","Male","2009",8190,
"Manawatu-Wanganui region","0-4 Years","Male","2010",8380,
"Manawatu-Wanganui region","0-4 Years","Male","2011",8410,
"Manawatu-Wanganui region","0-4 Years","Male","2012",8340,
"Manawatu-Wanganui region","0-4 Years","Male","2013",8170,
"Manawatu-Wanganui region","0-4 Years","Male","2014",8040,
"Manawatu-Wanganui region","0-4 Years","Female","2006",7500,
"Manawatu-Wanganui region","0-4 Years","Female","2007",7540,
"Manawatu-Wanganui region","0-4 Years","Female","2008",7710,
"Manawatu-Wanganui region","0-4 Years","Female","2009",7830,
"Manawatu-Wanganui region","0-4 Years","Female","2010",7970,
"Manawatu-Wanganui region","0-4 Years","Female","2011",8120,
"Manawatu-Wanganui region","0-4 Years","Female","2012",8080,
"Manawatu-Wanganui region","0-4 Years","Female","2013",7960,
"Manawatu-Wanganui region","0-4 Years","Female","2014",7840,
"Wellington region","0-4 Years","Male","2006",16090,
"Wellington region","0-4 Years","Male","2007",16350,
"Wellington region","0-4 Years","Male","2008",16520,
"Wellington region","0-4 Years","Male","2009",16770,
"Wellington region","0-4 Years","Male","2010",17060,
"Wellington region","0-4 Years","Male","2011",17190,
"Wellington region","0-4 Years","Male","2012",16950,
"Wellington region","0-4 Years","Male","2013",16700,
"Wellington region","0-4 Years","Male","2014",16350,
"Wellington region","0-4 Years","Female","2006",15540,
"Wellington region","0-4 Years","Female","2007",15730,
"Wellington region","0-4 Years","Female","2008",16030,
"Wellington region","0-4 Years","Female","2009",16300,
"Wellington region","0-4 Years","Female","2010",16580,
"Wellington region","0-4 Years","Female","2011",16650,
"Wellington region","0-4 Years","Female","2012",16480,
"Wellington region","0-4 Years","Female","2013",16070,
"Wellington region","0-4 Years","Female","2014",15650,
"Tasman region","0-4 Years","Male","2006",1450,
"Tasman region","0-4 Years","Male","2007",1470,
"Tasman region","0-4 Years","Male","2008",1510,
"Tasman region","0-4 Years","Male","2009",1480,
"Tasman region","0-4 Years","Male","2010",1480,
"Tasman region","0-4 Years","Male","2011",1500,
"Tasman region","0-4 Years","Male","2012",1500,
"Tasman region","0-4 Years","Male","2013",1480,
"Tasman region","0-4 Years","Male","2014",1400,
"Tasman region","0-4 Years","Female","2006",1520,
"Tasman region","0-4 Years","Female","2007",1520,
"Tasman region","0-4 Years","Female","2008",1510,
"Tasman region","0-4 Years","Female","2009",1430,
"Tasman region","0-4 Years","Female","2010",1430,
"Tasman region","0-4 Years","Female","2011",1420,
"Tasman region","0-4 Years","Female","2012",1390,
"Tasman region","0-4 Years","Female","2013",1380,
"Tasman region","0-4 Years","Female","2014",1340,
"Nelson region","0-4 Years","Male","2006",1330,
"Nelson region","0-4 Years","Male","2007",1380,
"Nelson region","0-4 Years","Male","2008",1480,
"Nelson region","0-4 Years","Male","2009",1540,
"Nelson region","0-4 Years","Female","2006",1260,
"Nelson region","0-4 Years","Female","2007",1320,
"Nelson region","0-4 Years","Female","2008",1390,
"Nelson region","0-4 Years","Female","2009",1410,
"West Coast region","0-4 Years","Male","2006",1040,
"West Coast region","0-4 Years","Male","2007",1050,
"West Coast region","0-4 Years","Female","2006",910,
"West Coast region","0-4 Years","Female","2007",910,
"Otago region","0-4 Years","Male","2006",5580,
"Otago region","0-4 Years","Male","2007",5670,
"Otago region","0-4 Years","Male","2008",5810,
"Otago region","0-4 Years","Male","2009",6020,
"Otago region","0-4 Years","Male","2010",6080,
"Otago region","0-4 Years","Male","2011",6280,
"Otago region","0-4 Years","Male","2012",6320,
"Otago region","0-4 Years","Male","2013",6380,
"Otago region","0-4 Years","Male","2014",6220,
"Otago region","0-4 Years","Female","2006",5410,
"Otago region","0-4 Years","Female","2007",5560,
"Otago region","0-4 Years","Female","2008",5620,
"Otago region","0-4 Years","Female","2009",5660,
"Otago region","0-4 Years","Female","2010",5690,
"Otago region","0-4 Years","Female","2011",5790,
"Otago region","0-4 Years","Female","2012",5780,
"Otago region","0-4 Years","Female","2013",5920,
"Otago region","0-4 Years","Female","2014",5870,
"Southland region","0-4 Years","Male","2006",3210,
"Southland region","0-4 Years","Male","2007",3280,
"Southland region","0-4 Years","Male","2008",3340,
"Southland region","0-4 Years","Male","2009",3430,
"Southland region","0-4 Years","Male","2010",3500,
"Southland region","0-4 Years","Male","2011",3570,
"Southland region","0-4 Years","Male","2012",3560,
"Southland region","0-4 Years","Male","2013",3490,
"Southland region","0-4 Years","Male","2014",3450,
"Southland region","0-4 Years","Female","2006",2990,
"Southland region","0-4 Years","Female","2007",3010,
"Southland region","0-4 Years","Female","2008",3080,
"Southland region","0-4 Years","Female","2009",3160,
"Southland region","0-4 Years","Female","2010",3250,
"Southland region","0-4 Years","Female","2011",3340,
"Southland region","0-4 Years","Female","2012",3310,
"Southland region","0-4 Years","Female","2013",3210,
"Southland region","0-4 Years","Female","2014",3200,
"Area outside region","0-4 Years","Male","2006",35,
"Area outside region","0-4 Years","Male","2007",35,
"Area outside region","0-4 Years","Male","2008",35,
"Area outside region","0-4 Years","Male","2009",30,
"Area outside region","0-4 Years","Male","2010",25,
"Area outside region","0-4 Years","Male","2011",25,
"Area outside region","0-4 Years","Male","2012",20,
"Area outside region","0-4 Years","Male","2013",15,
"Area outside region","0-4 Years","Male","2014",15,
"Area outside region","0-4 Years","Female","2006",20,
"Area outside region","0-4 Years","Female","2007",20,
"Area outside region","0-4 Years","Female","2008",25,
"Area outside region","0-4 Years","Female","2009",20,
"Area outside region","0-4 Years","Female","2010",20,
"Area outside region","0-4 Years","Female","2011",20,
"Area outside region","0-4 Years","Female","2012",25,
"Area outside region","0-4 Years","Female","2013",20,
"Area outside region","0-4 Years","Female","2014",20,
"Northland region","5-9 Years","Male","2006",5940,
"Northland region","5-9 Years","Male","2007",5940,
"Northland region","5-9 Years","Male","2008",5930,
"Northland region","5-9 Years","Male","2009",5900,
"Northland region","5-9 Years","Male","2010",5860,
"Northland region","5-9 Years","Male","2011",5900,
"Northland region","5-9 Years","Male","2012",6050,
"Northland region","5-9 Years","Male","2013",6190,
"Northland region","5-9 Years","Male","2014",6350,
"Northland region","5-9 Years","Female","2006",5760,
"Northland region","5-9 Years","Female","2007",5730,
"Northland region","5-9 Years","Female","2008",5640,
"Northland region","5-9 Years","Female","2009",5660,
"Northland region","5-9 Years","Female","2010",5660,
"Northland region","5-9 Years","Female","2011",5680,
"Northland region","5-9 Years","Female","2012",5850,
"Northland region","5-9 Years","Female","2013",5960,
"Northland region","5-9 Years","Female","2014",5960,
"Auckland region","5-9 Years","Male","2006",49760,
"Auckland region","5-9 Years","Male","2007",49870,
"Auckland region","5-9 Years","Male","2008",50120,
"Auckland region","5-9 Years","Male","2009",50490,
"Auckland region","5-9 Years","Male","2010",50270,
"Auckland region","5-9 Years","Male","2011",50450,
"Auckland region","5-9 Years","Male","2012",51350,
"Auckland region","5-9 Years","Male","2013",52420,
"Auckland region","5-9 Years","Male","2014",53510,
"Auckland region","5-9 Years","Female","2006",47810,
"Auckland region","5-9 Years","Female","2007",47790,
"Auckland region","5-9 Years","Female","2008",47670,
"Auckland region","5-9 Years","Female","2009",47800,
"Auckland region","5-9 Years","Female","2010",47480,
"Auckland region","5-9 Years","Female","2011",47920,
"Auckland region","5-9 Years","Female","2012",48720,
"Auckland region","5-9 Years","Female","2013",49660,
"Auckland region","5-9 Years","Female","2014",50700,
"Waikato region","5-9 Years","Male","2006",14990,
"Waikato region","5-9 Years","Male","2007",14990,
"Waikato region","5-9 Years","Male","2008",14860,
"Waikato region","5-9 Years","Male","2009",14830,
"Waikato region","5-9 Years","Male","2010",14890,
"Waikato region","5-9 Years","Male","2011",14900,
"Waikato region","5-9 Years","Male","2012",15120,
"Waikato region","5-9 Years","Male","2013",15480,
"Waikato region","5-9 Years","Male","2014",16090,
"Waikato region","5-9 Years","Female","2006",14320,
"Waikato region","5-9 Years","Female","2007",14350,
"Waikato region","5-9 Years","Female","2008",14350,
"Waikato region","5-9 Years","Female","2009",14460,
"Waikato region","5-9 Years","Female","2010",14470,
"Waikato region","5-9 Years","Female","2011",14570,
"Waikato region","5-9 Years","Female","2012",14780,
"Waikato region","5-9 Years","Female","2013",15150,
"Waikato region","5-9 Years","Female","2014",15440,
"Bay of Plenty region","5-9 Years","Male","2006",10400,
"Bay of Plenty region","5-9 Years","Male","2007",10420,
"Bay of Plenty region","5-9 Years","Male","2008",10330,
"Bay of Plenty region","5-9 Years","Male","2009",10240,
"Bay of Plenty region","5-9 Years","Male","2010",10150,
"Bay of Plenty region","5-9 Years","Male","2011",10090,
"Bay of Plenty region","5-9 Years","Male","2012",10200,
"Bay of Plenty region","5-9 Years","Male","2013",10390,
"Bay of Plenty region","5-9 Years","Male","2014",10610,
"Bay of Plenty region","5-9 Years","Female","2006",9720,
"Bay of Plenty region","5-9 Years","Female","2007",9660,
"Bay of Plenty region","5-9 Years","Female","2008",9530,
"Bay of Plenty region","5-9 Years","Female","2009",9620,
"Bay of Plenty region","5-9 Years","Female","2010",9580,
"Bay of Plenty region","5-9 Years","Female","2011",9560,
"Bay of Plenty region","5-9 Years","Female","2012",9630,
"Bay of Plenty region","5-9 Years","Female","2013",9760,
"Bay of Plenty region","5-9 Years","Female","2014",9900,
"Gisborne region","5-9 Years","Male","2006",1990,
"Gisborne region","5-9 Years","Male","2007",2000,
"Gisborne region","5-9 Years","Male","2008",1990,
"Gisborne region","5-9 Years","Male","2009",2020,
"Gisborne region","5-9 Years","Male","2010",2050,
"Gisborne region","5-9 Years","Male","2011",2020,
"Gisborne region","5-9 Years","Male","2012",2050,
"Gisborne region","5-9 Years","Male","2013",2050,
"Gisborne region","5-9 Years","Male","2014",2060,
"Gisborne region","5-9 Years","Female","2006",1930,
"Gisborne region","5-9 Years","Female","2007",1850,
"Gisborne region","5-9 Years","Female","2008",1850,
"Gisborne region","5-9 Years","Female","2009",1840,
"Gisborne region","5-9 Years","Female","2010",1840,
"Gisborne region","5-9 Years","Female","2011",1840,
"Gisborne region","5-9 Years","Female","2012",1890,
"Gisborne region","5-9 Years","Female","2013",1890,
"Gisborne region","5-9 Years","Female","2014",1940,
"Hawke's Bay region","5-9 Years","Male","2006",5860,
"Hawke's Bay region","5-9 Years","Male","2007",5830,
"Hawke's Bay region","5-9 Years","Male","2008",5700,
"Hawke's Bay region","5-9 Years","Male","2009",5740,
"Hawke's Bay region","5-9 Years","Male","2010",5690,
"Hawke's Bay region","5-9 Years","Male","2011",5670,
"Hawke's Bay region","5-9 Years","Male","2012",5710,
"Hawke's Bay region","5-9 Years","Male","2013",5750,
"Hawke's Bay region","5-9 Years","Male","2014",5800,
"Hawke's Bay region","5-9 Years","Female","2006",5620,
"Hawke's Bay region","5-9 Years","Female","2007",5650,
"Hawke's Bay region","5-9 Years","Female","2008",5580,
"Hawke's Bay region","5-9 Years","Female","2009",5580,
"Hawke's Bay region","5-9 Years","Female","2010",5480,
"Hawke's Bay region","5-9 Years","Female","2011",5490,
"Hawke's Bay region","5-9 Years","Female","2012",5470,
"Hawke's Bay region","5-9 Years","Female","2013",5610,
"Hawke's Bay region","5-9 Years","Female","2014",5720,
"Taranaki region","5-9 Years","Male","2006",3940,
"Taranaki region","5-9 Years","Male","2007",3920,
"Taranaki region","5-9 Years","Male","2008",3900,
"Taranaki region","5-9 Years","Male","2009",3860,
"Taranaki region","5-9 Years","Male","2010",3870,
"Taranaki region","5-9 Years","Male","2011",3860,
"Taranaki region","5-9 Years","Male","2012",3960,
"Taranaki region","5-9 Years","Male","2013",4040,
"Taranaki region","5-9 Years","Male","2014",4240,
"Taranaki region","5-9 Years","Female","2006",3690,
"Taranaki region","5-9 Years","Female","2007",3700,
"Taranaki region","5-9 Years","Female","2008",3640,
"Taranaki region","5-9 Years","Female","2009",3600,
"Taranaki region","5-9 Years","Female","2010",3580,
"Taranaki region","5-9 Years","Female","2011",3600,
"Taranaki region","5-9 Years","Female","2012",3700,
"Taranaki region","5-9 Years","Female","2013",3880,
"Taranaki region","5-9 Years","Female","2014",4010,
"Manawatu-Wanganui region","5-9 Years","Male","2006",8310,
"Manawatu-Wanganui region","5-9 Years","Male","2007",8140,
"Manawatu-Wanganui region","5-9 Years","Male","2008",8020,
"Manawatu-Wanganui region","5-9 Years","Male","2009",7930,
"Manawatu-Wanganui region","5-9 Years","Male","2010",7800,
"Manawatu-Wanganui region","5-9 Years","Male","2011",7800,
"Manawatu-Wanganui region","5-9 Years","Male","2012",7840,
"Manawatu-Wanganui region","5-9 Years","Male","2013",8030,
"Manawatu-Wanganui region","5-9 Years","Male","2014",8170,
"Manawatu-Wanganui region","5-9 Years","Female","2006",7960,
"Manawatu-Wanganui region","5-9 Years","Female","2007",7800,
"Manawatu-Wanganui region","5-9 Years","Female","2008",7680,
"Manawatu-Wanganui region","5-9 Years","Female","2009",7670,
"Manawatu-Wanganui region","5-9 Years","Female","2010",7600,
"Manawatu-Wanganui region","5-9 Years","Female","2011",7520,
"Manawatu-Wanganui region","5-9 Years","Female","2012",7520,
"Manawatu-Wanganui region","5-9 Years","Female","2013",7640,
"Manawatu-Wanganui region","5-9 Years","Female","2014",7830,
"Wellington region","5-9 Years","Male","2006",15840,
"Wellington region","5-9 Years","Male","2007",15860,
"Wellington region","5-9 Years","Male","2008",15920,
"Wellington region","5-9 Years","Male","2009",15930,
"Wellington region","5-9 Years","Male","2010",15830,
"Wellington region","5-9 Years","Male","2011",15760,
"Wellington region","5-9 Years","Male","2012",15870,
"Wellington region","5-9 Years","Male","2013",15970,
"Wellington region","5-9 Years","Male","2014",16220,
"Wellington region","5-9 Years","Female","2006",15240,
"Wellington region","5-9 Years","Female","2007",15270,
"Wellington region","5-9 Years","Female","2008",15300,
"Wellington region","5-9 Years","Female","2009",15360,
"Wellington region","5-9 Years","Female","2010",15160,
"Wellington region","5-9 Years","Female","2011",15180,
"Wellington region","5-9 Years","Female","2012",15260,
"Wellington region","5-9 Years","Female","2013",15500,
"Wellington region","5-9 Years","Female","2014",15620,
"Tasman region","5-9 Years","Male","2006",1730,
"Tasman region","5-9 Years","Male","2007",1680,
"Tasman region","5-9 Years","Male","2008",1670,
"Tasman region","5-9 Years","Male","2009",1690,
"Tasman region","5-9 Years","Male","2010",1660,
"Tasman region","5-9 Years","Male","2011",1670,
"Tasman region","5-9 Years","Male","2012",1680,
"Tasman region","5-9 Years","Male","2013",1730,
"Tasman region","5-9 Years","Male","2014",1700,
"Tasman region","5-9 Years","Female","2006",1500,
"Tasman region","5-9 Years","Female","2007",1560,
"Tasman region","5-9 Years","Female","2008",1560,
"Tasman region","5-9 Years","Female","2009",1650,
"Tasman region","5-9 Years","Female","2010",1670,
"Tasman region","5-9 Years","Female","2011",1690,
"Tasman region","5-9 Years","Female","2012",1690,
"Tasman region","5-9 Years","Female","2013",1670,
"Tasman region","5-9 Years","Female","2014",1620,
"Nelson region","5-9 Years","Male","2006",1390,
"Nelson region","5-9 Years","Male","2007",1420,
"Nelson region","5-9 Years","Male","2008",1420,
"Nelson region","5-9 Years","Male","2009",1450,
"Nelson region","5-9 Years","Female","2006",1300,
"Nelson region","5-9 Years","Female","2007",1320,
"Nelson region","5-9 Years","Female","2008",1330,
"Nelson region","5-9 Years","Female","2009",1360,
"West Coast region","5-9 Years","Male","2006",1060,
"West Coast region","5-9 Years","Male","2007",1040,
"West Coast region","5-9 Years","Female","2006",1010,
"West Coast region","5-9 Years","Female","2007",1000,
"Otago region","5-9 Years","Male","2006",5900,
"Otago region","5-9 Years","Male","2007",5920,
"Otago region","5-9 Years","Male","2008",5900,
"Otago region","5-9 Years","Male","2009",5920,
"Otago region","5-9 Years","Male","2010",5960,
"Otago region","5-9 Years","Male","2011",5890,
"Otago region","5-9 Years","Male","2012",5930,
"Otago region","5-9 Years","Male","2013",6050,
"Otago region","5-9 Years","Male","2014",6330,
"Otago region","5-9 Years","Female","2006",5540,
"Otago region","5-9 Years","Female","2007",5550,
"Otago region","5-9 Years","Female","2008",5560,
"Otago region","5-9 Years","Female","2009",5600,
"Otago region","5-9 Years","Female","2010",5630,
"Otago region","5-9 Years","Female","2011",5640,
"Otago region","5-9 Years","Female","2012",5670,
"Otago region","5-9 Years","Female","2013",5740,
"Otago region","5-9 Years","Female","2014",5840,
"Southland region","5-9 Years","Male","2006",3240,
"Southland region","5-9 Years","Male","2007",3270,
"Southland region","5-9 Years","Male","2008",3250,
"Southland region","5-9 Years","Male","2009",3240,
"Southland region","5-9 Years","Male","2010",3260,
"Southland region","5-9 Years","Male","2011",3270,
"Southland region","5-9 Years","Male","2012",3360,
"Southland region","5-9 Years","Male","2013",3440,
"Southland region","5-9 Years","Male","2014",3510,
"Southland region","5-9 Years","Female","2006",3120,
"Southland region","5-9 Years","Female","2007",3080,
"Southland region","5-9 Years","Female","2008",3040,
"Southland region","5-9 Years","Female","2009",3060,
"Southland region","5-9 Years","Female","2010",3100,
"Southland region","5-9 Years","Female","2011",3110,
"Southland region","5-9 Years","Female","2012",3140,
"Southland region","5-9 Years","Female","2013",3200,
"Southland region","5-9 Years","Female","2014",3240,
"Area outside region","5-9 Years","Male","2006",30,
"Area outside region","5-9 Years","Male","2007",30,
"Area outside region","5-9 Years","Male","2008",25,
"Area outside region","5-9 Years","Male","2009",25,
"Area outside region","5-9 Years","Male","2010",25,
"Area outside region","5-9 Years","Male","2011",30,
"Area outside region","5-9 Years","Male","2012",30,
"Area outside region","5-9 Years","Male","2013",30,
"Area outside region","5-9 Years","Male","2014",25,
"Area outside region","5-9 Years","Female","2006",20,
"Area outside region","5-9 Years","Female","2007",20,
"Area outside region","5-9 Years","Female","2008",20,
"Area outside region","5-9 Years","Female","2009",25,
"Area outside region","5-9 Years","Female","2010",20,
"Area outside region","5-9 Years","Female","2011",20,
"Area outside region","5-9 Years","Female","2012",15,
"Area outside region","5-9 Years","Female","2013",20,
"Area outside region","5-9 Years","Female","2014",20,
"Northland region","10-14 Years","Male","2006",6710,
"Northland region","10-14 Years","Male","2007",6470,
"Northland region","10-14 Years","Male","2008",6350,
"Northland region","10-14 Years","Male","2009",6310,
"Northland region","10-14 Years","Male","2010",6310,
"Northland region","10-14 Years","Male","2011",6300,
"Northland region","10-14 Years","Male","2012",6280,
"Northland region","10-14 Years","Male","2013",6270,
"Northland region","10-14 Years","Male","2014",6150,
"Northland region","10-14 Years","Female","2006",6290,
"Northland region","10-14 Years","Female","2007",6150,
"Northland region","10-14 Years","Female","2008",6030,
"Northland region","10-14 Years","Female","2009",5970,
"Northland region","10-14 Years","Female","2010",6020,
"Northland region","10-14 Years","Female","2011",6020,
"Northland region","10-14 Years","Female","2012",5950,
"Northland region","10-14 Years","Female","2013",5840,
"Northland region","10-14 Years","Female","2014",5850,
"Auckland region","10-14 Years","Male","2006",52240,
"Auckland region","10-14 Years","Male","2007",52210,
"Auckland region","10-14 Years","Male","2008",51960,
"Auckland region","10-14 Years","Male","2009",51770,
"Auckland region","10-14 Years","Male","2010",51890,
"Auckland region","10-14 Years","Male","2011",51940,
"Auckland region","10-14 Years","Male","2012",51510,
"Auckland region","10-14 Years","Male","2013",51160,
"Auckland region","10-14 Years","Male","2014",51140,
"Auckland region","10-14 Years","Female","2006",49460,
"Auckland region","10-14 Years","Female","2007",49870,
"Auckland region","10-14 Years","Female","2008",49780,
"Auckland region","10-14 Years","Female","2009",49410,
"Auckland region","10-14 Years","Female","2010",49230,
"Auckland region","10-14 Years","Female","2011",49350,
"Auckland region","10-14 Years","Female","2012",48820,
"Auckland region","10-14 Years","Female","2013",48410,
"Auckland region","10-14 Years","Female","2014",48350,
"Waikato region","10-14 Years","Male","2006",16080,
"Waikato region","10-14 Years","Male","2007",15740,
"Waikato region","10-14 Years","Male","2008",15620,
"Waikato region","10-14 Years","Male","2009",15540,
"Waikato region","10-14 Years","Male","2010",15630,
"Waikato region","10-14 Years","Male","2011",15690,
"Waikato region","10-14 Years","Male","2012",15660,
"Waikato region","10-14 Years","Male","2013",15350,
"Waikato region","10-14 Years","Male","2014",15230,
"Waikato region","10-14 Years","Female","2006",15000,
"Waikato region","10-14 Years","Female","2007",14650,
"Waikato region","10-14 Years","Female","2008",14530,
"Waikato region","10-14 Years","Female","2009",14650,
"Waikato region","10-14 Years","Female","2010",14860,
"Waikato region","10-14 Years","Female","2011",14980,
"Waikato region","10-14 Years","Female","2012",14980,
"Waikato region","10-14 Years","Female","2013",14800,
"Waikato region","10-14 Years","Female","2014",14690,
"Bay of Plenty region","10-14 Years","Male","2006",10950,
"Bay of Plenty region","10-14 Years","Male","2007",10670,
"Bay of Plenty region","10-14 Years","Male","2008",10510,
"Bay of Plenty region","10-14 Years","Male","2009",10540,
"Bay of Plenty region","10-14 Years","Male","2010",10760,
"Bay of Plenty region","10-14 Years","Male","2011",10820,
"Bay of Plenty region","10-14 Years","Male","2012",10770,
"Bay of Plenty region","10-14 Years","Male","2013",10540,
"Bay of Plenty region","10-14 Years","Male","2014",10390,
"Bay of Plenty region","10-14 Years","Female","2006",10500,
"Bay of Plenty region","10-14 Years","Female","2007",10300,
"Bay of Plenty region","10-14 Years","Female","2008",10130,
"Bay of Plenty region","10-14 Years","Female","2009",9990,
"Bay of Plenty region","10-14 Years","Female","2010",10040,
"Bay of Plenty region","10-14 Years","Female","2011",10120,
